i,type,db,fe,scaler,result,acc,f1,model,file,index
11,a_posteriori,meta,isomap,yeo_johnson_transformation,0.5954545454545455,0.2222222222222222,0.173202614379085,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_isomap_yeo_johnson_transformation_2.csv,2
12,a_posteriori,meta,pca,min_max_scaling,0.5227272727272727,0.3888888888888889,0.18666666666666668,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(64, 64, 32)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_min_max_scaling_0.csv,0
13,a_posteriori,meta,pca,min_max_scaling,0.525,0.3333333333333333,0.16666666666666666,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(16, 16, 16, 8)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_min_max_scaling_1.csv,1
14,a_posteriori,meta,pca,min_max_scaling,0.525,0.3888888888888889,0.30199430199430194,"MLP | {'batch_size': 16, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(16, 16, 16, 8)', 'max_iter': 350, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_min_max_scaling_2.csv,2
15,a_posteriori,meta,pca,standard_scaling,0.5704545454545454,0.5555555555555556,0.5004456327985739,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_standard_scaling_0.csv,0
16,a_posteriori,meta,pca,standard_scaling,0.5068181818181818,0.3333333333333333,0.1818181818181818,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(32, 32, 8)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_standard_scaling_1.csv,1
17,a_posteriori,meta,pca,standard_scaling,0.5522727272727272,0.4444444444444444,0.40740740740740744,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(8, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_standard_scaling_2.csv,2
18,a_posteriori,meta,pca,unscaled,0.5227272727272727,0.4444444444444444,0.33893557422969184,"MLP | {'batch_size': 1, 'activation': 'relu', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 64)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_unscaled_0.csv,0
19,a_posteriori,meta,pca,unscaled,0.575,0.2222222222222222,0.1846153846153846,"MLP | {'batch_size': 16, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_unscaled_1.csv,1
20,a_posteriori,meta,pca,unscaled,0.575,0.4444444444444444,0.4481481481481482,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 1e-06, 'early_stopping': True, 'hidden_layer_sizes': '(32, 16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_unscaled_2.csv,2
21,a_posteriori,meta,pca,yeo_johnson_transformation,0.5681818181818181,0.4444444444444444,0.2896825396825397,"MLP | {'batch_size': 4, 'activation': 'relu', 'alpha': 1e-05, 'early_stopping': True, 'hidden_layer_sizes': '(64, 32)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_yeo_johnson_transformation_0.csv,0
22,a_posteriori,meta,pca,yeo_johnson_transformation,0.640909090909091,0.16666666666666666,0.1688311688311688,"MLP | {'batch_size': 1, 'activation': 'tanh', 'alpha': 0.001, 'early_stopping': True, 'hidden_layer_sizes': '(32, 64)', 'max_iter': 350, 'learning_rate_init': 0.0001, 'solver': 'adam'}",a_posteriori_meta_pca_yeo_johnson_transformation_1.csv,1
23,a_posteriori,meta,pca,yeo_johnson_transformation,0.6681818181818182,0.2777777777777778,0.2235294117647059,"MLP | {'batch_size': 4, 'activation': 'tanh', 'alpha': 0.1, 'early_stopping': True, 'hidden_layer_sizes': '(16)', 'max_iter': 150, 'learning_rate_init': 0.1, 'solver': 'adam'}",a_posteriori_meta_pca_yeo_johnson_transformation_2.csv,2
